,O,D,flow
1187,5364,493,1
1188,21431,22196,1
1189,10525,16387,1
1190,20525,16322,1
1191,24152,10486,1
1192,10726,27711,1
1193,17404,9129,1
1194,65,11406,1
1195,5566,2566,1
1196,14980,22117,1
1197,36248,36449,1
1198,5356,16371,1
1199,32650,9567,1
1200,30683,11904,1
1201,33870,11904,1
1202,31133,11812,1
1203,17209,33983,1
1204,2828,13260,1
1205,29009,8466,1
1206,15973,23202,1
1207,10561,18539,1
1208,16937,27853,1
1209,30544,16535,1
1210,16939,27854,1
1211,27620,11628,1
1212,9223,11628,1
1213,33297,5681,1
1214,25031,28350,1
1215,30146,5882,1
1216,13335,22859,1
1217,19345,19454,1
1218,10493,305,1
1219,37197,12084,1
1220,36439,12199,1
1221,4324,8781,1
1222,32647,17149,1
1223,1590,34445,1
1224,26020,20673,1
1225,29448,26121,1
1226,24490,11794,1
1227,14180,40141,1
1228,21715,21547,1
1229,30772,10331,1
1230,18186,23841,1
1231,11238,19698,1
1232,5547,13444,1
1233,30241,19080,1
1234,35727,37583,1
1235,33263,7387,1
1236,34390,30855,1
1237,40098,11926,1
1238,4572,26567,1
1239,4576,18957,1
1240,37215,5883,1
1241,14050,4791,1
1242,26564,28257,1
1243,7589,13070,1
1244,28814,18530,1
1245,32971,701,1
1246,9001,3593,1
1247,23113,22766,1
1248,15027,23364,1
1249,33412,7123,1
1250,28809,871,1
1251,30504,871,1
1252,6387,32651,1
1253,10472,7389,1
1254,7076,24903,1
1255,25708,2566,1
1256,3281,16874,1
1257,32307,13529,1
1258,22413,22334,1
1259,16374,40453,1
1260,9249,28593,1
1261,27876,9240,1
1262,16374,19287,1
1263,12669,34367,1
1264,21977,23878,1
1265,13191,27507,1
1266,32827,2411,1
1267,13677,2416,1
1268,68,13174,1
1269,21446,15293,1
1270,12748,29536,1
1271,6497,8999,1
1272,6497,23341,1
1273,13629,2636,1
1274,23891,2636,1
1275,5992,35546,1
1276,5992,28302,1
1277,34804,27233,1
1278,23322,25700,1
1279,26498,11801,1
1280,27812,11792,1
1281,19950,16218,1
1282,13469,11792,1
1283,28031,30186,1
1284,41837,23234,1
1285,14097,19134,1
1286,19909,17032,1
1287,4916,22934,1
1288,654,11922,1
1289,8833,31338,1
1290,19035,6492,1
1291,22246,4864,1
1292,23673,11871,1
1293,6808,31428,1
1294,24707,27530,1
1295,21270,39224,1
1296,36642,20673,1
1297,23281,10472,1
1298,2827,11163,1
1299,41970,13648,1
1300,30242,21446,1
1301,2970,7508,1
1302,10499,16509,1
1303,28985,27644,1
1304,14465,8318,1
1305,27389,16199,1
1306,1847,21555,1
1307,2814,14049,1
1308,8831,17271,1
1309,30053,25028,1
1310,16518,11424,1
1311,30763,10002,1
1312,23232,19241,1
1313,2573,6267,1
1314,6651,32039,1
1315,19550,17781,1
1316,19834,28011,1
1317,11897,27233,1
1318,12675,18815,1
1319,12675,8543,1
1320,10440,23375,1
1321,38961,18815,1
1322,20700,36385,1
1323,1673,30769,1
1324,27432,20904,1
1325,9603,9650,1
1326,7699,30795,1
1327,6451,40947,1
1328,32824,35546,1
1329,35790,21529,1
1330,3121,35543,1
1331,26509,13210,1
