,O,D,flow
1175,83244,31337,1
1176,43057,74268,1
1177,67233,57472,1
1178,32087,11409,1
1179,78735,48229,1
1180,60801,26336,1
1181,44773,44997,1
1182,6006,42882,1
1183,31268,78684,1
1184,27367,78684,1
1185,49039,15470,1
1186,62596,74651,1
1187,22559,76895,1
1188,18385,49333,1
1189,56420,24742,1
1190,76740,13012,1
1191,24955,16238,1
1192,10487,3746,1
1193,15152,3161,1
1194,10487,70297,1
1195,77218,3161,1
1196,57971,70297,1
1197,4805,3746,1
1198,53620,13786,1
1199,9060,33646,1
1200,44668,27474,1
1201,72382,4133,1
1202,4013,44372,1
1203,58676,4104,1
1204,75931,48244,1
1205,10519,5344,1
1206,65451,43057,1
1207,65451,42546,1
1208,37531,1423,1
1209,21060,35413,1
1210,52236,62176,1
1211,40435,33468,1
1212,25926,16276,1
1213,77218,19474,1
1214,6155,79992,1
1215,17524,32188,1
1216,52402,1570,1
1217,371,28924,1
1218,3668,3060,1
1219,56874,63348,1
1220,1122,22794,1
1221,54642,3476,1
1222,32413,70978,1
1223,64872,43017,1
1224,8842,24419,1
1225,33820,74480,1
1226,301,2905,1
1227,7215,11120,1
1228,12580,17966,1
1229,15449,62289,1
1230,75305,47884,1
1231,45544,70737,1
1232,36282,46857,1
1233,46833,54132,1
1234,15747,37381,1
1235,72920,4902,1
1236,52573,32928,1
1237,31292,41817,1
1238,20899,2499,1
1239,47213,12176,1
1240,49515,73841,1
1241,76857,72116,1
1242,34871,10771,1
1243,16239,42177,1
1244,14266,74714,1
1245,29816,54549,1
1246,73776,43012,1
1247,74382,4546,1
1248,77027,63457,1
1249,67612,28478,1
1250,36557,20397,1
1251,26275,1625,1
1252,26275,146,1
1253,38924,20124,1
1254,82434,19690,1
1255,61231,70376,1
1256,19883,32513,1
1257,5619,21684,1
1258,37750,21060,1
1259,27325,32371,1
1260,5224,68480,1
1261,44431,18660,1
1262,44231,37121,1
1263,65154,65601,1
1264,51192,38679,1
1265,48310,49073,1
1266,61327,43839,1
1267,49777,41713,1
1268,34191,56500,1
1269,18768,64063,1
1270,75805,64063,1
1271,17135,9558,1
1272,43463,9558,1
1273,40992,33392,1
1274,10632,38201,1
1275,30010,70867,1
1276,40712,5646,1
1277,59154,80109,1
1278,66678,46200,1
1279,18976,41777,1
1280,35388,74883,1
1281,78034,17392,1
1282,56995,74295,1
1283,35404,13542,1
1284,24742,63141,1
1285,34620,74850,1
1286,72341,66184,1
1287,32567,2487,1
1288,63721,55511,1
1289,42418,14039,1
1290,28193,69878,1
1291,49789,67106,1
1292,58989,73860,1
1293,4408,64129,1
1294,74655,24284,1
1295,74655,71984,1
1296,21897,41195,1
1297,3397,7651,1
1298,56537,28066,1
1299,39149,11671,1
1300,16845,16092,1
1301,79553,28502,1
1302,75985,71979,1
1303,70879,81851,1
1304,56283,34217,1
1305,13716,3397,1
1306,65801,74655,1
1307,43382,4408,1
1308,17340,20610,1
1309,38856,10901,1
1310,82059,39710,1
1311,78110,7240,1
1312,7117,69545,1
1313,53270,35041,1
1314,26977,78944,1
1315,53658,74747,1
1316,15317,54094,1
1317,76623,33829,1
1318,49525,43057,1
1319,26637,225,1
1320,5565,55121,1
1321,60132,54801,1
1322,68714,62820,1
1323,40631,28292,1
1324,40518,47573,1
1325,35631,73327,1
1326,60361,3074,1
1327,79085,16122,1
1328,58841,14575,1
1329,25391,44436,1
1330,26939,48783,1
1331,25151,10449,1
1332,20571,18411,1
1333,24953,41201,1
1334,4067,32622,1
1335,9680,41218,1
1336,56091,34333,1
1337,42192,20231,1
1338,67773,10920,1
1339,60577,31047,1
1340,63510,73913,1
1341,13403,53569,1
1342,25081,79836,1
1343,8413,59592,1
1344,54356,1765,1
1345,19632,35440,1
1346,81919,75931,1
1347,13318,46306,1
1348,51110,30696,1
1349,58105,8699,1
1350,15449,16609,1
1351,14398,34769,1
1352,7153,14469,1
1353,21629,19518,1
1354,81301,38698,1
1355,62595,6263,1
1356,74714,53291,1
1357,62910,60029,1
1358,32371,57672,1
1359,67660,26872,1
1360,32371,68414,1
1361,63522,22494,1
1362,41988,23750,1
