"year","group_mode","group_purpose","odistrict","downtown","soma","n_beach_and_chinatown","western_market","mission_and_potrero","noe_and_glen_and_bernal","marina_and_n_heights","richmond","bayshore","outer_mission","hill_districts","sunset","south_bay","east_bay","north_bay"
"2015","walk/bike","total","North Bay",63.0,10.0,28.0,26.0,26.0,3.0,49.0,43.0,6.0,8.0,9.0,32.0,18.0,898.0,370756.0
"2050","transit","mandatory","South Bay",22108.0,6492.0,3645.0,2018.0,4806.0,811.0,1582.0,728.0,2224.0,1485.0,1660.0,3731.0,317691.0,20730.0,231.0
"2015","drive","total","Sunset",8831.0,4744.0,3846.0,15988.0,11149.0,7735.0,9730.0,22605.0,6604.0,16092.0,18270.0,91286.0,48141.0,9422.0,5955.0
"2015","walk/bike","discretionary","Hill Districts",189.0,83.0,44.0,946.0,507.0,1402.0,140.0,170.0,203.0,2406.0,5848.0,2923.0,294.0,0.0,2.0
"2015","transit","discretionary","Richmond",2994.0,356.0,689.0,964.0,242.0,87.0,977.0,1975.0,46.0,116.0,135.0,920.0,109.0,213.0,72.0
"2015","transit","total","Noe/Glen/Bernal",8749.0,1632.0,1356.0,1371.0,1909.0,1244.0,667.0,214.0,775.0,905.0,977.0,958.0,993.0,1002.0,70.0
"2050","transit","mandatory","N. Beach/Chinatown",8716.0,3376.0,3312.0,2318.0,4691.0,856.0,2503.0,1166.0,1385.0,845.0,786.0,1670.0,3542.0,11308.0,962.0
"2050","uber/lyft","total","Downtown",54843.0,30175.0,24616.0,8967.0,10277.0,1090.0,7179.0,1345.0,1511.0,547.0,700.0,1551.0,1414.0,1662.0,199.0
"2050","drive","total","Bayshore",12448.0,11496.0,4769.0,8218.0,33686.0,14320.0,4606.0,2609.0,81520.0,18690.0,8359.0,11076.0,50502.0,13623.0,2082.0
"2015","transit","total","N. Beach/Chinatown",16504.0,2805.0,7444.0,3906.0,4179.0,1305.0,4275.0,1766.0,1637.0,1094.0,1187.0,2031.0,3746.0,10183.0,1489.0
"2050","walk/bike","discretionary","Noe/Glen/Bernal",592.0,632.0,153.0,2058.0,5546.0,10626.0,213.0,76.0,1982.0,1669.0,1658.0,461.0,163.0,0.0,3.0
"2015","uber/lyft","discretionary","Noe/Glen/Bernal",354.0,205.0,197.0,405.0,561.0,486.0,147.0,35.0,176.0,192.0,175.0,131.0,58.0,5.0,2.0
"2015","drive","mandatory","Mission/Potrero",5870.0,4491.0,2391.0,4531.0,9886.0,3274.0,2911.0,1809.0,4601.0,2425.0,2215.0,3895.0,12734.0,10420.0,2586.0
"2015","total","total","SoMa",55528.0,34706.0,17069.0,18379.0,29548.0,6467.0,10291.0,5080.0,8837.0,5037.0,3939.0,7517.0,18008.0,27286.0,4915.0
"2015","drive","total","Western Market",15070.0,7875.0,6659.0,28733.0,18926.0,8353.0,16874.0,11905.0,5918.0,5379.0,6629.0,16084.0,14523.0,10669.0,5247.0
"2015","drive","mandatory","South Bay",10124.0,7393.0,4686.0,6460.0,13106.0,5688.0,5463.0,4964.0,13018.0,10021.0,7579.0,17240.0,2238309.0,200196.0,6155.0
"2050","uber/lyft","mandatory","Sunset",860.0,810.0,431.0,327.0,333.0,61.0,202.0,123.0,72.0,144.0,163.0,566.0,267.0,42.0,10.0
"2050","total","total","Bayshore",29401.0,18656.0,8023.0,10473.0,43415.0,18409.0,5807.0,3061.0,122356.0,22598.0,10542.0,13366.0,55170.0,16105.0,2189.0
"2050","drive","mandatory","SoMa",6628.0,7118.0,2853.0,3771.0,7709.0,1636.0,2722.0,1696.0,3314.0,1600.0,1257.0,2902.0,8191.0,11878.0,2192.0
"2050","walk/bike","mandatory","Noe/Glen/Bernal",580.0,318.0,146.0,537.0,1449.0,1508.0,169.0,50.0,722.0,375.0,558.0,294.0,167.0,0.0,4.0
"2015","total","mandatory","South Bay",31489.0,11963.0,8370.0,8147.0,16203.0,6550.0,6713.0,5455.0,14659.0,11930.0,9412.0,19908.0,2646058.0,208235.0,6281.0
"2015","drive","discretionary","N. Beach/Chinatown",9228.0,3259.0,10551.0,4566.0,5487.0,1381.0,8354.0,2728.0,2115.0,988.0,748.0,2122.0,3725.0,5272.0,2559.0
"2015","drive","total","Downtown",25982.0,12987.0,14552.0,16043.0,17844.0,6057.0,15544.0,8604.0,8519.0,5092.0,3813.0,9018.0,19263.0,26155.0,8626.0
"2015","walk/bike","mandatory","Sunset",652.0,166.0,149.0,838.0,378.0,230.0,417.0,913.0,144.0,737.0,1120.0,7659.0,607.0,0.0,24.0
"2015","drive","mandatory","Sunset",4036.0,2287.0,1744.0,4268.0,3865.0,2096.0,3339.0,5207.0,2301.0,3402.0,4586.0,17199.0,17028.0,5512.0,3065.0
"2015","uber/lyft","mandatory","N. Beach/Chinatown",5589.0,1758.0,3451.0,905.0,1035.0,176.0,1306.0,224.0,306.0,63.0,134.0,270.0,303.0,502.0,85.0
"2050","uber/lyft","total","N. Beach/Chinatown",23231.0,9979.0,19275.0,3790.0,4097.0,461.0,5635.0,763.0,717.0,222.0,325.0,739.0,743.0,909.0,154.0
"2015","total","discretionary","North Bay",4064.0,1386.0,2665.0,2609.0,1827.0,623.0,4088.0,3085.0,636.0,681.0,746.0,2868.0,2851.0,63886.0,1815027.0
